attempt_id,sentence_id,voice,rate,pitch,original_text,spoken_text,kind,component,from,to,position,score,stt_text
338,14,ko-KR-SunHiNeural,-5%,+20Hz,얼음이 녹아 물이 되었다,얼음이 넉아 물이 되었다,perturbed,jungseong,ㅗ,ㅓ,4,93,얼음이 너가 불이 되었다
339,15,ko-KR-SunHiNeural,-5%,-20Hz,숙제를 먼저 끝냈다,숙제를 먼저 끝냈다,normal,,,,,96,숙제를 먼저 끝났다.
340,15,ko-KR-SunHiNeural,-10%,+0Hz,숙제를 먼저 끝냈다,숙제르 먼저 끝냈다,perturbed,jongseong,ㄹ,(삭제),2,92,숙제를 먼저 끝낸다.
341,15,ko-KR-SunHiNeural,+0%,+20Hz,숙제를 먼저 끝냈다,숙제르 먼저 끝냈다,perturbed,jongseong,ㄹ,(삭제),2,96,숙제를 먼저 끝났다.
342,16,ko-KR-SunHiNeural,-5%,+0Hz,책상 위에 책이 있다,책상 위에 책이 있다,normal,,,,,100,책상 위에 책이 있다
343,16,ko-KR-SunHiNeural,+10%,+10Hz,책상 위에 책이 있다,책사 위에 책이 있다,perturbed,jongseong,ㅇ,(삭제),1,96,책사위에 책이 있다.
344,16,ko-KR-SunHiNeural,-5%,+0Hz,책상 위에 책이 있다,책상 위에 챋이 있다,perturbed,jongseong,ㄱ,ㄷ,6,88,책상 위에 체즈 있다
345,17,ko-KR-SunHiNeural,+0%,+10Hz,국밥이 뜨겁다,국밥이 뜨겁다,normal,,,,,100,국밥이 뜨겁다.
346,17,ko-KR-SunHiNeural,+10%,-10Hz,국밥이 뜨겁다,쿡밥이 뜨겁다,perturbed,choseong,ㄱ,ㅋ,0,100,국밥이 뜨겁다.
347,17,ko-KR-SunHiNeural,-5%,+20Hz,국밥이 뜨겁다,구밥이 뜨겁다,perturbed,jongseong,ㄱ,(삭제),0,83,굽아 비트겁다
348,18,ko-KR-SunHiNeural,-5%,-20Hz,약속 장소로 걸어갔다,약속 장소로 걸어갔다,normal,,,,,100,약속 장소로 걸어갔다
349,18,ko-KR-SunHiNeural,-10%,+10Hz,약속 장소로 걸어갔다,약솝 장소로 걸어갔다,perturbed,jongseong,ㄱ,ㅂ,1,96,약속창소로 걸어갔다.
350,18,ko-KR-SunHiNeural,+0%,-10Hz,약속 장소로 걸어갔다,약속 상소로 걸어갔다,perturbed,choseong,ㅈ,ㅅ,3,96,약속 상소로 걸어갔다.
351,19,ko-KR-SunHiNeural,+5%,-20Hz,박물관에 다녀왔다,박물관에 다녀왔다,normal,,,,,100,방물관에 다녀왔다.
352,19,ko-KR-SunHiNeural,+5%,+20Hz,박물관에 다녀왔다,박믈관에 다녀왔다,perturbed,jungseong,ㅜ,ㅡ,1,100,방물관에 다녀왔다
353,19,ko-KR-SunHiNeural,-10%,+10Hz,박물관에 다녀왔다,팍물관에 다녀왔다,perturbed,choseong,ㅂ,ㅍ,0,92,탄물관에 다녀왔다
354,20,ko-KR-SunHiNeural,+0%,-10Hz,앞마당에 눈이 쌓였다,앞마당에 눈이 쌓였다,normal,,,,,96,암마당의 눈이 쌓였다.
355,20,ko-KR-SunHiNeural,-10%,+10Hz,앞마당에 눈이 쌓였다,앞마탕에 눈이 쌓였다,perturbed,choseong,ㄷ,ㅌ,2,96,암마탕에 눈이 쌓였다.
356,20,ko-KR-SunHiNeural,+0%,+0Hz,앞마당에 눈이 쌓였다,아마당에 눈이 쌓였다,perturbed,jongseong,ㅍ,(삭제),0,93,아마당의 눈이 쌓였다.
357,21,ko-KR-SunHiNeural,-10%,+20Hz,겉모습만 보면 모른다,겉모습만 보면 모른다,normal,,,,,100,겉모습만 보면 모른다.
358,21,ko-KR-SunHiNeural,+5%,+20Hz,겉모습만 보면 모른다,겉모습만 포면 모른다,perturbed,choseong,ㅂ,ㅍ,5,100,겉모습만 보면 모른다.
359,21,ko-KR-SunHiNeural,-5%,+20Hz,겉모습만 보면 모른다,겉머습만 보면 모른다,perturbed,jungseong,ㅗ,ㅓ,1,100,겉모습만 보면 모른다.
360,22,ko-KR-SunHiNeural,+0%,+0Hz,밥맛이 정말 좋다,밥맛이 정말 좋다,normal,,,,,95,반맛이 정말 좋다.
361,22,ko-KR-SunHiNeural,-10%,-10Hz,밥맛이 정말 좋다,밥맛이 정말 젛다,perturbed,jungseong,ㅗ,ㅓ,7,95,반맛이 정말 좋다.
362,22,ko-KR-SunHiNeural,-10%,-20Hz,밥맛이 정말 좋다,밥맛이 정마 좋다,perturbed,jongseong,ㄹ,(삭제),5,90,단맛이 정말 좋다.
363,23,ko-KR-SunHiNeural,+5%,-10Hz,축하 인사를 건넸다,축하 인사를 건넸다,normal,,,,,96,축하 인사를 건냈다.
364,23,ko-KR-SunHiNeural,+10%,+0Hz,축하 인사를 건넸다,축하 인사늘 건넸다,perturbed,choseong,ㄹ,ㄴ,5,96,축하 인사를 건냈다.
365,23,ko-KR-SunHiNeural,+10%,-20Hz,축하 인사를 건넸다,축하 인사르 건넸다,perturbed,jongseong,ㄹ,(삭제),5,85,축하해 인사를 건냈다.
366,24,ko-KR-SunHiNeural,-5%,+20Hz,입학을 축하한다,입학을 축하한다,normal,,,,,95,2박을 축하한다.
367,24,ko-KR-SunHiNeural,+10%,+20Hz,입학을 축하한다,입학을 춥하한다,perturbed,jongseong,ㄱ,ㅂ,4,95,입학을 추파한다
368,24,ko-KR-SunHiNeural,+5%,+20Hz,입학을 축하한다,입학을 추하한다,perturbed,jongseong,ㄱ,(삭제),4,95,입학을 추하한다
369,25,ko-KR-SunHiNeural,+5%,+10Hz,따뜻한 국을 먹었다,따뜻한 국을 먹었다,normal,,,,,100,따뜻한 국을 먹었다.
370,25,ko-KR-SunHiNeural,-10%,+10Hz,따뜻한 국을 먹었다,따뜻한 국을 먹었타,perturbed,choseong,ㄷ,ㅌ,9,100,따뜻한 국을 먹었다.
371,25,ko-KR-SunHiNeural,-5%,+0Hz,따뜻한 국을 먹었다,다뜻한 국을 먹었다,perturbed,choseong,ㄸ,ㄷ,0,100,따뜻한 국을 먹었다
372,26,ko-KR-SunHiNeural,+0%,+20Hz,낮잠을 잤다,낮잠을 잤다,normal,,,,,100,낮잠을 잤다
373,26,ko-KR-SunHiNeural,+5%,+20Hz,낮잠을 잤다,낮잠울 잤다,perturbed,jungseong,ㅡ,ㅜ,2,100,낮잠을 잤다.
374,26,ko-KR-SunHiNeural,+0%,+20Hz,낮잠을 잤다,낮잠을 샀다,perturbed,choseong,ㅈ,ㅅ,4,93,낮잠을 샀다
375,27,ko-KR-SunHiNeural,+5%,-20Hz,낮과 밤이 다르다,낮과 밤이 다르다,normal,,,,,95,낙과 밤이 다르다
376,27,ko-KR-SunHiNeural,+5%,+0Hz,낮과 밤이 다르다,낮과 밤이 다르타,perturbed,choseong,ㄷ,ㅌ,8,95,낙과 밤이 다르다
377,27,ko-KR-SunHiNeural,-5%,-10Hz,낮과 밤이 다르다,낮콰 밤이 다르다,perturbed,choseong,ㄱ,ㅋ,1,90,낙화 밤이 다르다.
378,28,ko-KR-SunHiNeural,+0%,+20Hz,숲 속은 시원하다,숲 속은 시원하다,normal,,,,,100,숲속은 시원하다.
379,28,ko-KR-SunHiNeural,+0%,+20Hz,숲 속은 시원하다,숲 속은 시워하다,perturbed,jongseong,ㄴ,(삭제),6,76,숲속은 쉬워라.
380,28,ko-KR-SunHiNeural,+0%,-10Hz,숲 속은 시원하다,숲 속운 시원하다,perturbed,jungseong,ㅡ,ㅜ,3,100,숲속은 시원하다.
381,29,ko-KR-SunHiNeural,-5%,+20Hz,꽃다발을 받았다,꽃다발을 받았다,normal,,,,,100,꽃다발을 받았다
382,29,ko-KR-SunHiNeural,+0%,-10Hz,꽃다발을 받았다,꽃다발을 받아다,perturbed,jongseong,ㅆ,(삭제),6,90,꽃다발을 받아다
383,29,ko-KR-SunHiNeural,-10%,+10Hz,꽃다발을 받았다,꽃다발을 받았타,perturbed,choseong,ㄷ,ㅌ,7,100,꽃다발을 받았다
384,30,ko-KR-SunHiNeural,-5%,+20Hz,빗소리가 들린다,빗소리가 들린다,normal,,,,,100,빗소리가 들린다.
385,30,ko-KR-SunHiNeural,-5%,-20Hz,빗소리가 들린다,빗소리가 들림다,perturbed,jongseong,ㄴ,ㅁ,6,83,빗소리가 들립니다.
386,30,ko-KR-SunHiNeural,+10%,-20Hz,빗소리가 들린다,핏소리가 들린다,perturbed,choseong,ㅂ,ㅍ,0,86,피소리가 들린다.
387,31,ko-KR-SunHiNeural,+10%,-10Hz,부엌문을 닫았다,부엌문을 닫았다,normal,,,,,100,부엉문을 닫았다.
388,31,ko-KR-SunHiNeural,-5%,+0Hz,부엌문을 닫았다,부엌문울 닫았다,perturbed,jungseong,ㅡ,ㅜ,3,100,부엉문을 닫았다
389,31,ko-KR-SunHiNeural,-5%,-20Hz,부엌문을 닫았다,부엌무을 닫았다,perturbed,jongseong,ㄴ,(삭제),2,90,부엉물를 닫았다.
390,32,ko-KR-SunHiNeural,+10%,-20Hz,값비싼 옷을 샀다,값비싼 옷을 샀다,normal,,,,,95,갓비싼 옷을 샀다.
391,32,ko-KR-SunHiNeural,+0%,+10Hz,값비싼 옷을 샀다,값비싼 옷으 샀다,perturbed,jongseong,ㄹ,(삭제),5,100,값비싼 옷을 샀다.
392,32,ko-KR-SunHiNeural,-5%,+0Hz,값비싼 옷을 샀다,값비싼 옷을 사다,perturbed,jongseong,ㅆ,(삭제),7,90,값비싼 옷을 사다
393,33,ko-KR-SunHiNeural,-5%,+10Hz,닭고기를 볶아 먹었다,닭고기를 볶아 먹었다,normal,,,,,100,닭고기를 볶아 먹었다
394,33,ko-KR-SunHiNeural,+5%,-10Hz,닭고기를 볶아 먹었다,닭고기늘 볶아 먹었다,perturbed,choseong,ㄹ,ㄴ,3,85,달고기는 볶아 먹었다.
395,33,ko-KR-SunHiNeural,+0%,-20Hz,닭고기를 볶아 먹었다,닭고기를 볶아 머었다,perturbed,jongseong,ㄱ,(삭제),8,100,닭고기를 볶아 먹었다
396,1,ko-KR-InJoonNeural,+0%,-10Hz,국물이 정말 시원하다,국물이 정말 시원하다,normal,,,,,100,국물이 정말 시원하다.
397,1,ko-KR-InJoonNeural,+5%,+0Hz,국물이 정말 시원하다,국믈이 정말 시원하다,perturbed,jungseong,ㅜ,ㅡ,1,100,국물이 정말 시원하다.
398,1,ko-KR-InJoonNeural,+0%,+0Hz,국물이 정말 시원하다,국물이 정말 씨원하다,perturbed,choseong,ㅅ,ㅆ,7,100,국물이 정말 시원하다.
399,2,ko-KR-InJoonNeural,-5%,-20Hz,밥을 먹었다,밥을 먹었다,normal,,,,,100,밥을 먹었다
400,2,ko-KR-InJoonNeural,-10%,+20Hz,밥을 먹었다,밥으 먹었다,perturbed,jongseong,ㄹ,(삭제),1,100,밥을 먹었다
401,2,ko-KR-InJoonNeural,+5%,+20Hz,밥을 먹었다,받을 먹었다,perturbed,jongseong,ㅂ,ㄷ,0,93,받을 먹었다
402,3,ko-KR-InJoonNeural,+10%,-20Hz,신라면이 맵다,신라면이 맵다,normal,,,,,100,신라면이 맵다
403,3,ko-KR-InJoonNeural,+10%,+0Hz,신라면이 맵다,시라면이 맵다,perturbed,jongseong,ㄴ,(삭제),0,89,시라멘이 맵다.
404,3,ko-KR-InJoonNeural,+5%,+10Hz,신라면이 맵다,시라면이 맵다,perturbed,jongseong,ㄴ,(삭제),0,89,실화면이 맵다.
405,4,ko-KR-InJoonNeural,+5%,+20Hz,좋다고 말했다,좋다고 말했다,normal,,,,,100,좋다고 말했다.
406,4,ko-KR-InJoonNeural,-10%,-20Hz,좋다고 말했다,좋다거 말했다,perturbed,jungseong,ㅗ,ㅓ,2,100,좋다고 말했다.
407,4,ko-KR-InJoonNeural,+0%,-20Hz,좋다고 말했다,좋다고 말해다,perturbed,jongseong,ㅆ,(삭제),5,89,좋다고 말해다.
408,5,ko-KR-InJoonNeural,-5%,-20Hz,학교에 갔다,학교에 갔다,normal,,,,,100,학교에 갔다
409,5,ko-KR-InJoonNeural,-5%,-10Hz,학교에 갔다,학쿄에 갔다,perturbed,choseong,ㄱ,ㅋ,1,100,학교에 갔다
410,5,ko-KR-InJoonNeural,+10%,+10Hz,학교에 갔다,학교에 갔타,perturbed,choseong,ㄷ,ㅌ,5,100,학교에 갔다
411,6,ko-KR-InJoonNeural,-5%,+20Hz,옷이 예쁘다,옷이 예쁘다,normal,,,,,100,옷이 예쁘다.
412,6,ko-KR-InJoonNeural,+10%,+0Hz,옷이 예쁘다,엇이 예쁘다,perturbed,jungseong,ㅗ,ㅓ,0,87,어디 예쁘다!
413,6,ko-KR-InJoonNeural,-5%,-20Hz,옷이 예쁘다,옷이 예뿌다,perturbed,jungseong,ㅡ,ㅜ,4,100,옷이 예쁘다
414,7,ko-KR-InJoonNeural,+0%,+0Hz,어머니가 오셨다,어머니가 오셨다,normal,,,,,100,어머니가 오셨다.
415,7,ko-KR-InJoonNeural,+0%,-10Hz,어머니가 오셨다,어머니가 오숐다,perturbed,jungseong,ㅕ,ㅛ,6,100,어머니가 오셨다.
416,7,ko-KR-InJoonNeural,-10%,-20Hz,어머니가 오셨다,어머니가 오쎴다,perturbed,choseong,ㅅ,ㅆ,6,100,어머니가 오셨다.
417,8,ko-KR-InJoonNeural,+5%,+10Hz,라디오를 켰다,라디오를 켰다,normal,,,,,100,라디오를 켰다
418,8,ko-KR-InJoonNeural,-10%,+20Hz,라디오를 켰다,라디오를 쿘다,perturbed,jungseong,ㅕ,ㅛ,5,100,라디오를 켰다
419,8,ko-KR-InJoonNeural,+0%,-20Hz,라디오를 켰다,라디어를 켰다,perturbed,jungseong,ㅗ,ㅓ,2,100,라디오를 켰다
420,9,ko-KR-InJoonNeural,-5%,-20Hz,읽고 다시 말했다,읽고 다시 말했다,normal,,,,,100,읽고 다시 말했다.
421,9,ko-KR-InJoonNeural,+10%,+20Hz,읽고 다시 말했다,읽코 다시 말했다,perturbed,choseong,ㄱ,ㅋ,1,100,읽고 다시 말했다.
422,9,ko-KR-InJoonNeural,+5%,-10Hz,읽고 다시 말했다,읽고 다시 말해다,perturbed,jongseong,ㅆ,(삭제),7,90,읽고 다시 말해다.
423,10,ko-KR-InJoonNeural,-10%,+0Hz,같이 갑시다,같이 갑시다,normal,,,,,100,같이 갑시다.
424,10,ko-KR-InJoonNeural,-5%,+10Hz,같이 갑시다,같이 가시다,perturbed,jongseong,ㅂ,(삭제),3,87,같이 가시다.
425,10,ko-KR-InJoonNeural,-10%,+10Hz,같이 갑시다,같이 가시다,perturbed,jongseong,ㅂ,(삭제),3,87,같이 가시다.
426,11,ko-KR-InJoonNeural,-10%,+20Hz,웃음이 절로 나온다,웃음이 절로 나온다,normal,,,,,100,웃음이 절로 나온다.
427,11,ko-KR-InJoonNeural,+5%,-10Hz,웃음이 절로 나온다,웃음이 절로 나온타,perturbed,choseong,ㄷ,ㅌ,9,100,웃음이 절로 나온다
428,11,ko-KR-InJoonNeural,+0%,-20Hz,웃음이 절로 나온다,웃음이 절로 라온다,perturbed,choseong,ㄴ,ㄹ,7,100,웃음이 절로 나온다
429,12,ko-KR-InJoonNeural,-10%,+10Hz,구름이 하늘에 떠 있다,구름이 하늘에 떠 있다,normal,,,,,100,구름이 하늘에 떠 있다
430,12,ko-KR-InJoonNeural,+0%,-10Hz,구름이 하늘에 떠 있다,구름이 하늘에 떠 이다,perturbed,jongseong,ㅆ,(삭제),10,93,구름이 하늘에 떠이다.
431,12,ko-KR-InJoonNeural,-5%,-10Hz,구름이 하늘에 떠 있다,구름이 하늘에 떠 이다,perturbed,jongseong,ㅆ,(삭제),10,93,구름이 하늘에 떠이다.
432,13,ko-KR-InJoonNeural,-5%,+0Hz,꽃이 활짝 피었다,꽃이 활짝 피었다,normal,,,,,100,꽃이 활짝 피었다.
433,13,ko-KR-InJoonNeural,-5%,+10Hz,꽃이 활짝 피었다,꽃이 활짝 피옸다,perturbed,jungseong,ㅓ,ㅗ,7,100,꽃이 활짝 피었다.
434,13,ko-KR-InJoonNeural,-5%,+10Hz,꽃이 활짝 피었다,꽃이 활짝 비었다,perturbed,choseong,ㅍ,ㅂ,6,95,꽃이 활짝 비었다.
435,14,ko-KR-InJoonNeural,+5%,-10Hz,얼음이 녹아 물이 되었다,얼음이 녹아 물이 되었다,normal,,,,,100,얼음이 녹아 무리 되었다
436,14,ko-KR-InJoonNeural,-5%,+20Hz,얼음이 녹아 물이 되었다,얼음이 녹아 물이 되었타,perturbed,choseong,ㄷ,ㅌ,12,100,얼음이 녹아 물이 되었다
437,14,ko-KR-InJoonNeural,-10%,+20Hz,얼음이 녹아 물이 되었다,얼움이 녹아 물이 되었다,perturbed,jungseong,ㅡ,ㅜ,1,100,얼음이 녹아 무리 되었다
438,15,ko-KR-InJoonNeural,+5%,-10Hz,숙제를 먼저 끝냈다,숙제를 먼저 끝냈다,normal,,,,,92,숙제를 먼저 끝낸다.
439,15,ko-KR-InJoonNeural,+10%,-20Hz,숙제를 먼저 끝냈다,숙제를 먼저 긑냈다,perturbed,choseong,ㄲ,ㄱ,7,92,숙제를 먼저 끝내다.
440,15,ko-KR-InJoonNeural,+5%,-10Hz,숙제를 먼저 끝냈다,숙제를 먼조 끝냈다,perturbed,jungseong,ㅓ,ㅗ,5,92,숙제를 먼저 끝내다.
441,16,ko-KR-InJoonNeural,+0%,-20Hz,책상 위에 책이 있다,책상 위에 책이 있다,normal,,,,,100,책상 위에 책이 있다.
442,16,ko-KR-InJoonNeural,+0%,+20Hz,책상 위에 책이 있다,책상 이에 책이 있다,perturbed,jungseong,ㅟ,ㅣ,3,100,책상 위에 책이 있다
443,16,ko-KR-InJoonNeural,-10%,+10Hz,책상 위에 책이 있다,책상 위에 채이 있다,perturbed,jongseong,ㄱ,(삭제),6,92,책상 위에 체이 있다
444,17,ko-KR-InJoonNeural,-5%,-10Hz,국밥이 뜨겁다,국밥이 뜨겁다,normal,,,,,100,국밥이 뜨겁다
445,17,ko-KR-InJoonNeural,+10%,-10Hz,국밥이 뜨겁다,국밥이 뜨컵다,perturbed,choseong,ㄱ,ㅋ,5,100,국밥이 뜨겁다
446,17,ko-KR-InJoonNeural,-10%,+0Hz,국밥이 뜨겁다,국팝이 뜨겁다,perturbed,choseong,ㅂ,ㅍ,1,100,국밥이 뜨겁다
447,18,ko-KR-InJoonNeural,+5%,+10Hz,약속 장소로 걸어갔다,약속 장소로 걸어갔다,normal,,,,,100,약속장소로 걸어갔다.
448,18,ko-KR-InJoonNeural,-5%,+10Hz,약속 장소로 걸어갔다,약속 장소로 걸어가다,perturbed,jongseong,ㅆ,(삭제),9,93,약속장소로 걸어가다.
449,18,ko-KR-InJoonNeural,+5%,+10Hz,약속 장소로 걸어갔다,약속 장소로 걸어가다,perturbed,jongseong,ㅆ,(삭제),9,93,약속장소로 걸어가다.
450,19,ko-KR-InJoonNeural,+0%,+20Hz,박물관에 다녀왔다,박물관에 다녀왔다,normal,,,,,100,박물관에 다녀왔다
451,19,ko-KR-InJoonNeural,+5%,+10Hz,박물관에 다녀왔다,박물관에 다녀왔타,perturbed,choseong,ㄷ,ㅌ,8,100,박물관에 다녀왔다
452,19,ko-KR-InJoonNeural,+5%,+10Hz,박물관에 다녀왔다,박물관에 다려왔다,perturbed,choseong,ㄴ,ㄹ,6,100,박물관에 다녀왔다
453,20,ko-KR-InJoonNeural,+5%,+20Hz,앞마당에 눈이 쌓였다,앞마당에 눈이 쌓였다,normal,,,,,100,앞마당에 눈이 쌓였다
454,20,ko-KR-InJoonNeural,+10%,+20Hz,앞마당에 눈이 쌓였다,앞마당에 는이 쌓였다,perturbed,jungseong,ㅜ,ㅡ,5,100,앞마당에 눈이 쌓였다.
455,20,ko-KR-InJoonNeural,+10%,+20Hz,앞마당에 눈이 쌓였다,앞마당에 눈이 샇였다,perturbed,choseong,ㅆ,ㅅ,8,96,앞마당에 눈이 사였다.
456,21,ko-KR-InJoonNeural,+5%,+20Hz,겉모습만 보면 모른다,겉모습만 보면 모른다,normal,,,,,100,겉모습만 보면 모른다.
457,21,ko-KR-InJoonNeural,+10%,-20Hz,겉모습만 보면 모른다,겉모습만 버면 모른다,perturbed,jungseong,ㅗ,ㅓ,5,100,겉모습만 보면 모른다
458,21,ko-KR-InJoonNeural,+5%,+10Hz,겉모습만 보면 모른다,겉모습만 버면 모른다,perturbed,jungseong,ㅗ,ㅓ,5,100,겉모습만 보면 모른다.
459,22,ko-KR-InJoonNeural,-10%,-20Hz,밥맛이 정말 좋다,밥맛이 정말 좋다,normal,,,,,100,밥 맛이 정말 좋다!
460,22,ko-KR-InJoonNeural,+0%,+0Hz,밥맛이 정말 좋다,밥맛이 정마 좋다,perturbed,jongseong,ㄹ,(삭제),5,100,밥 맛이 정말 좋다!
461,22,ko-KR-InJoonNeural,+10%,+20Hz,밥맛이 정말 좋다,밥맛이 정마 좋다,perturbed,jongseong,ㄹ,(삭제),5,100,밥 맛이 정말 좋다.
462,23,ko-KR-InJoonNeural,+0%,+20Hz,축하 인사를 건넸다,축하 인사를 건넸다,normal,,,,,96,축하 인사를 건냈다.
