file,target_text,intended_text,model,temperature,recognized,elapsed_sec,verdict,note
normal_09.wav,읽고 다시 말했다,읽고 다시 말했다,medium,0.0,읽고 다시 말했다.,6.0,정확 인식,정상 발음
normal_09.wav,읽고 다시 말했다,읽고 다시 말했다,medium,0.6,잇고 다시 말했다.,6.0,오인식,정상 발음
normal_10.wav,같이 갑시다,같이 갑시다,small,0.0,같이 갑시다,2.0,정확 인식,정상 발음
normal_10.wav,같이 갑시다,같이 갑시다,small,0.6,같이 갑시다,1.9,정확 인식,정상 발음
normal_10.wav,같이 갑시다,같이 갑시다,medium,0.0,같이 갑시다,5.7,정확 인식,정상 발음
normal_10.wav,같이 갑시다,같이 갑시다,medium,0.6,같이 갑시다,5.8,정확 인식,정상 발음
wrong_01.wav,국물이 정말 시원하다,국물이 정말 시원하다,small,0.0,국물이 정말 시원하다,2.1,정확 인식,비음화 무시하고 [국물]로 또박또박
wrong_01.wav,국물이 정말 시원하다,국물이 정말 시원하다,small,0.6,국물이 정말 시원하다,2.1,정확 인식,비음화 무시하고 [국물]로 또박또박
wrong_01.wav,국물이 정말 시원하다,국물이 정말 시원하다,medium,0.0,국물이 정말 시원하다.,6.2,정확 인식,비음화 무시하고 [국물]로 또박또박
wrong_01.wav,국물이 정말 시원하다,국물이 정말 시원하다,medium,0.6,국물이 정말 시원하다.,6.2,정확 인식,비음화 무시하고 [국물]로 또박또박
wrong_02.wav,밥을 먹었다,받을 먹었다,small,0.0,바들 먹었다,2.0,기타,종성 ㅂ→ㄷ 의도
wrong_02.wav,밥을 먹었다,받을 먹었다,small,0.6,바들 먹었다,2.0,기타,종성 ㅂ→ㄷ 의도
wrong_02.wav,밥을 먹었다,받을 먹었다,medium,0.0,바데를 먹었다.,5.9,기타,종성 ㅂ→ㄷ 의도
wrong_02.wav,밥을 먹었다,받을 먹었다,medium,0.6,바데를 먹었다.,6.1,기타,종성 ㅂ→ㄷ 의도
wrong_03.wav,신라면이 맵다,신라면이 맵다,small,0.0,신라면이 맵다,2.0,정확 인식,유음화 미적용하고 [신라면]으로 또박또박
wrong_03.wav,신라면이 맵다,신라면이 맵다,small,0.6,신라면이 맵다,2.1,정확 인식,유음화 미적용하고 [신라면]으로 또박또박
wrong_03.wav,신라면이 맵다,신라면이 맵다,medium,0.0,신라면이 맵다,6.0,정확 인식,유음화 미적용하고 [신라면]으로 또박또박
wrong_03.wav,신라면이 맵다,신라면이 맵다,medium,0.6,신라면이 맵다,6.0,정확 인식,유음화 미적용하고 [신라면]으로 또박또박
wrong_04.wav,좋다고 말했다,조흐다고 말했다,small,0.0,좋다고 말했다.,2.0,교정됨,격음화 미적용
wrong_04.wav,좋다고 말했다,조흐다고 말했다,small,0.6,좋은다고 말했다.,2.0,기타,격음화 미적용
wrong_04.wav,좋다고 말했다,조흐다고 말했다,medium,0.0,좋다고 말했다.,5.9,교정됨,격음화 미적용
wrong_04.wav,좋다고 말했다,조흐다고 말했다,medium,0.6,좋다고 말했다.,5.9,교정됨,격음화 미적용
wrong_05.wav,학교에 갔다,학교에 갔다,small,0.0,학교에 갔다,2.0,정확 인식,경음화 미적용
wrong_05.wav,학교에 갔다,학교에 갔다,small,0.6,학교에 갔다,2.0,정확 인식,경음화 미적용
wrong_05.wav,학교에 갔다,학교에 갔다,medium,0.0,학교에 갔다,5.8,정확 인식,경음화 미적용
wrong_05.wav,학교에 갔다,학교에 갔다,medium,0.6,학교에 갔다,6.0,정확 인식,경음화 미적용
wrong_06.wav,옷이 예쁘다,옫이 예쁘다,small,0.0,오디 예쁘다,2.0,기타,연음 미적용
wrong_06.wav,옷이 예쁘다,옫이 예쁘다,small,0.6,오디 예쁘다,2.0,기타,연음 미적용
wrong_06.wav,옷이 예쁘다,옫이 예쁘다,medium,0.0,옷이 예쁘다.,5.8,교정됨,연음 미적용
wrong_06.wav,옷이 예쁘다,옫이 예쁘다,medium,0.6,옷이 예쁘다.,6.2,교정됨,연음 미적용
wrong_07.wav,어머니가 오셨다,오머니가 오솠다,small,0.0,어머니가 웃었다,2.0,기타,모음 대체 (ㅓ→ㅗ)
wrong_07.wav,어머니가 오셨다,오머니가 오솠다,small,0.6,어머니가 오셨다,2.1,교정됨,모음 대체 (ㅓ→ㅗ)
wrong_07.wav,어머니가 오셨다,오머니가 오솠다,medium,0.0,어머니가 오솟다.,6.3,기타,모음 대체 (ㅓ→ㅗ)
wrong_07.wav,어머니가 오셨다,오머니가 오솠다,medium,0.6,어머니가 오솟다.,6.3,기타,모음 대체 (ㅓ→ㅗ)
wrong_08.wav,라디오를 켰다,나디오를 켰다,small,0.0,라디오를 켰다.,2.2,교정됨,초성 대체 (ㄹ→ㄴ)
wrong_08.wav,라디오를 켰다,나디오를 켰다,small,0.6,라디오를 켰다.,2.1,교정됨,초성 대체 (ㄹ→ㄴ)
wrong_08.wav,라디오를 켰다,나디오를 켰다,medium,0.0,라디오를 켰다,6.2,교정됨,초성 대체 (ㄹ→ㄴ)
wrong_08.wav,라디오를 켰다,나디오를 켰다,medium,0.6,라디오를 켰다,6.2,교정됨,초성 대체 (ㄹ→ㄴ)
wrong_09.wav,읽고 다시 말했다,일고 다시 말했다,small,0.0,일고 다시 말했다.,2.1,틀린 대로 인식,겹받침 오류 (ㄺ→ㄹ)
wrong_09.wav,읽고 다시 말했다,일고 다시 말했다,small,0.6,일고 다시 말했다.,2.2,틀린 대로 인식,겹받침 오류 (ㄺ→ㄹ)
wrong_09.wav,읽고 다시 말했다,일고 다시 말했다,medium,0.0,1고 다시 말했다,6.3,기타,겹받침 오류 (ㄺ→ㄹ)
wrong_09.wav,읽고 다시 말했다,일고 다시 말했다,medium,0.6,1고 다시 말했다,6.1,기타,겹받침 오류 (ㄺ→ㄹ)
wrong_10.wav,같이 갑시다,갇이 갑시다,small,0.0,가디 갑시다.,2.1,기타,자음 대체
wrong_10.wav,같이 갑시다,갇이 갑시다,small,0.6,가디 갑시다.,2.0,기타,자음 대체
wrong_10.wav,같이 갑시다,갇이 갑시다,medium,0.0,가.디.갑시다.,6.3,기타,자음 대체
wrong_10.wav,같이 갑시다,갇이 갑시다,medium,0.6,가.디. 갑시다.,6.2,기타,자음 대체
